"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"2i RETE GAS";"Energy";"352200";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"129";"4";"13";"58";"6";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"Si ";"Si";"Core";"";"";"Si";"Si";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"19791";"";"";"3543";"";"368797";"";"";"";"1032";"169";"";"No";"No";"No";"1703";"354";"33";"12";"94";"51";"2";"41";"57";"51";"0";"44";"56";"24.pdf";"2iReteGas_DNF_2019-ITA_WEB.pdf"
"AIM VICENZA";"Energy";"351100";"";"Veneto";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"134";"12";"24";"67";"11";"No";"No";"No";"No";"Si (2017-2018)";"No";"Si";"Si";"No";"No";"Si";"Referenced";"UN Global Compact";"UN_GC";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"17554";"";"";"0";"";"349969";"";"";"";"78120";"29";"";"No";"No";"No";"467";"142";"14";"15";"83";"49";"4";"46";"50";"";"";"";"";"6.pdf";"1436-dnf-2019-it.pdf"
"A2A";"Energy";"351100";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-Integrato";"Report-separato";"193";"19";"22";"84";"4";"Si";"No";"Si";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"IR Framework; UN Global Compact";"IR_UN_CG";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"6948463";"";"";"108103";"1616284";"";"8600000";"1400000";"";"667947";"638";"";"Si";"Si";"Si";"";"";"33";"21";"94";"";"";"";"";"60";"0";"0";"100";"48.pdf";"Bilancio-integrato-2019.pdf"
"ACEA";"Energy";"360000";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"273";"9";"26";"84";"6";"Si";"No";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Comprehensive";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"364460";"354811";"228590";"";"305231";"12057000";"";"";"";"311385";"126";"60";"No";"No";"No";"4430";"1286";"56";"28";"110";"48";"5";"52";"43";"50";"1";"47";"52";"51.pdf";"bilancio-sostenibilita-2019.pdf"
"ACQUE VENETE";"Utilities";"360000";"";"Veneto";"SI";"DNF-Volontaria";"DNF";"Report-separato";"130";"10";"21";"29";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"664";"";"";"17396";"";"200143";"";"1617000";"";"35437";"56";"43";"No";"No";"No";"250";"70";"29";"22";"";"50";"0";"50";"50";"54";"0";"29";"71";"106.pdf";"DNF 2019.pdf"
"ACSM-AGAM SPA        ";"Energy";"360000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"87";"4";"8";"27";"4";"No";"No";"Si";"No";"No";"Si";"Si";"Si";"Si";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"117116";"15793";"21261";"";"";"1863001";"341613";"";"";"16202";"141";"";"No";"No";"No";"669";"233";"38";"20";"";"47";"7";"52";"41";"55";"0";"23";"77";"25.pdf";"Acsm Agam - Bilancio di Sostenibilita` 2019.pdf"
"AEFFE";"Textile";"141310";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"31";"5";"5";"8";"4";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Referenced";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"20310";"";"";"11255";"";"23785";"22224";"";"";"125";"24";"";"No";"No";"No";"293";"1042";"38";"48";"";"43";"16";"58";"26";"57";"0";"13";"87";"21.pdf";"2020-04-22_Bilancio consolidato e bilancio di esercizio al 31 dicembre 2019.pdf"
"AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA	";"Logistics and Transport";"522300";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Bilancio-di-Sostenibilita";"Report-separato";"105";"5";"10";"43";"5";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"4929";"1654";"105";"";"";"107053";"96942";"";"";"1767";"12";"39";"No";"No";"No";"309";"267";"33";"39";"98";"43";"16";"58";"26";"56";"0";"22";"78";"26.pdf";"AEROPORTO MARCONI DNF-2019.pdf"
"AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IMPRESA SPA        ";"Financial Services";"701000";"";"Lazio";"SI";"Altro-EIPR-obbligato";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"43";"7";"3";"17";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"205";"";"";"1108";"";"14455";"15573";"";"";"";"1";"";"No";"No";"No";"1002";"967";"40";"37";"";"44";"10";"62";"28";"52";"0";"27";"73";"43.pdf";"Bilancio consolidato 2019 91622_oneinfo.pdf"
"AIMAG";"Utilities";"382109";"";"Emilia Romagna";"SI";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"157";"10";"42";"26";"5";"No";"No";"No";"No";"Si (2016-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"38348";"";"";"10058";"1667";"551691";"26790";"";"";"64336";"96";"";"Si";"Si";"Si";"335";"177";"40";"70";"";"45";"8";"59";"33";"";"";"";"";"27.pdf";"AIMAG_Bil_Sostenibilita_2019_def.pdf"
