id_azienda,nome,cod_ateco,cod_regione
1,2i RETE GAS,7,7
2,AIM VICENZA,7,16
3,A2A,7,7
4,ACEA,7,5
5,ACQUE VENETE,22,16
6,ACSM-AGAM SPA        ,7,7
7,AEFFE,21,3
8,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA	,11,3
9,AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IMPRESA SPA        ,8,5
10,AIMAG,22,3
11,ALBA LEASING SPA,8,7
12,ALIA,22,13
13,ALKEMY SPA,17,7
14,ALPERIA,7,14
15,AMPLIFON,10,7
16,AQUAFIL,17,14
17,ARNOLDO MONDADORI EDITORE,14,7
18,ASCOPIAVE,17,16
19,ASSICURAZIONI GENERALI,8,4
20,ASTALDI,5,5
21,ASTM,5,9
22,ATLANTIA,22,5
23,AUTOGRILL,9,7
24,AVIO,1,5
25,ATM,11,7
26,AZIMUT HOLDING,8,7
27,BANCA AGRICOLA POPOLARE DI RAGUSA,3,12
28,BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA,3,6
29,BANCA DI CIVIDALE SCPA - CIVIBANK	,3,4
30,BANCA DI CREDITO POPOLARE,3,2
31,BANCA DI PIACENZA,3,3
32,BANCA FARMAFACTORING SPA,3,7
33,BANCA GENERALI SPA,3,4
34,BANCA IFIS,3,16
35,BANCA MEDIOLANUM,3,7
36,BANCA MONTE DEI PASCHI DI SIENA SPA,3,13
37,BANCA NAZIONALE DEL LAVORO SPA,3,5
38,BANCA POPOLARE DELL ALTO ADIGE,3,14
39,BANCA POPOLARE DI SONDRIO,3,7
40,BANCA POPOLARE DI PUGLIA E BASILICATA,3,10
41,BANCA POPOLARE PUGLIESE,3,10
42,BANCA SELLA,3,9
43,BANCA VALSABBINA,3,7
44,BANCO BPM,3,7
45,BANCO DI DESIO E DELLA BRIANZA,3,7
46,BASIC NET,17,9
47,"BE SHAPING THE FUTURE SPA (ex BE THINK, SOLVE, EXECUTE SPA/Gruppo Be)",17,5
48,BEGHELLI,6,3
49,BENETTON GROUP,21,16
50,BIANCAMANO,22,7
51,BIESSE SPA,12,8
52,BPER,3,3
53,BREMBO,2,7
54,BRUNELLO CUCINELLI,21,15
55,BUZZI UNICEM,5,9
56,CAIRO COMMUNICATION,14,7
57,CALTAGIRONE,5,5
58,CAP HOLDING,22,7
59,CAREL INDUSTRIES SPA,6,16
60,CARRARO,12,16
61,CASSA CENTRALE BANCA ,3,14
62,CASSA CENTRALE RAIFFEISEN DELL ALTO ADIGE SPA,3,14
63,CASSA DEPOSITI E PRESTITI,8,5
64,CASSA DI RISPARMIO DI ASTI,3,9
65,CASSA DI RISPARMIO DI BOLZANO,3,14
66,CEMBRE,6,7
67,CEMENTIR HOLDING,12,5
68,CERVED GROUP,8,7
69,CIR ,2,7
70,CLN GROUP SPA,18,9
71,CNS,17,3
72,CREDIT AGRICOLE ITALIA SPA,3,3
73,CREDEM,3,3
74,CREDITO VALTELLINESE,3,7
75,CSP INTERNATIONAL FASHION GROUP SPA	,21,7
76,DANIELI,12,4
77,DATALOGIC,6,3
78,DAVIDE CAMPARI- MILANO SPA,9,7
79,DECO,22,1
80,DE LONGHI,6,16
81,DIASORIN,10,9
82,DOLOMITI ENERGIA HOLDING SPA        ,7,14
83,DO VALUE (ex Do Bank),8,7
84,E.S.TR.A. SPA        ,7,13
85,EDISON,7,7
86,EI TOWERS,20,7
