Aziende_nel_Database,N_uomini_dipendenti,N_donne_dipendenti,Donne_nel_CdA_(%),Donne_in_posizioni_manageriali_di_vertice_(%),Disuguaglianza_salariale_di_genere_(%),Eta_media_dipendenti_(%),Dipendenti_con_eta_30_per,Dipendenti_con_eta_30_50_per,Dipendenti_con_eta_50_per,Eta_media_in_CdA_(%),Membri_del_CdA_con_eta_30_per,Membri_del_CdA_con_eta_30_50_per,Membri_del_CdA_con_eta_50_per
2i RETE GAS,1703.0,354.0,33.0,12.0,94.0,51.0,2.0,41.0,57.0,51.0,0.0,44.0,56.0
AIM VICENZA,467.0,142.0,14.0,15.0,83.0,49.0,4.0,46.0,50.0,,,,
A2A,,,33.0,21.0,94.0,,,,,60.0,0.0,0.0,100.0
ACEA,4430.0,1286.0,56.0,28.0,110.0,48.0,5.0,52.0,43.0,50.0,1.0,47.0,52.0
ACQUE VENETE,250.0,70.0,29.0,22.0,,50.0,0.0,50.0,50.0,54.0,0.0,29.0,71.0
ACSM-AGAM SPA        ,669.0,233.0,38.0,20.0,,47.0,7.0,52.0,41.0,55.0,0.0,23.0,77.0
AEFFE,293.0,1042.0,38.0,48.0,,43.0,16.0,58.0,26.0,57.0,0.0,13.0,87.0
AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA	,309.0,267.0,33.0,39.0,98.0,43.0,16.0,58.0,26.0,56.0,0.0,22.0,78.0
AGENZIA NAZIONALE PER L ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D IMPRESA SPA        ,1002.0,967.0,40.0,37.0,,44.0,10.0,62.0,28.0,52.0,0.0,27.0,73.0
AIMAG,335.0,177.0,40.0,70.0,,45.0,8.0,59.0,33.0,,,,
ALBA LEASING SPA,169.0,122.0,0.0,25.0,95.0,50.0,3.0,45.0,52.0,54.0,0.0,29.0,71.0
ALIA,1707.0,578.0,60.0,21.0,99.0,50.0,2.0,47.0,51.0,48.0,0.0,60.0,40.0
ALKEMY SPA,265.0,261.0,33.0,32.0,,36.0,35.0,59.0,6.0,47.0,0.0,67.0,33.0
ALPERIA,787.0,230.0,50.0,19.0,88.0,41.0,23.0,55.0,22.0,,,,
AMPLIFON,3141.0,7854.0,33.0,34.0,,41.0,23.0,55.0,22.0,61.0,0.0,0.0,100.0
AQUAFIL,1994.0,899.0,33.0,15.0,91.0,,,,,56.0,11.0,0.0,89.0
ARNOLDO MONDADORI EDITORE,767.0,1251.0,36.0,24.0,,47.0,3.0,59.0,38.0,59.0,0.0,7.0,93.0
ASCOPIAVE,376.0,105.0,36.0,15.0,,47.0,3.0,59.0,38.0,59.0,0.0,7.0,93.0
ASSICURAZIONI GENERALI,34801.0,35933.0,38.0,,,,,,,60.0,0.0,8.0,92.0
ASTALDI,3752.0,561.0,33.0,8.0,,50.0,10.0,32.0,58.0,,,,
ASTM,5127.0,1000.0,40.0,11.0,91.0,39.0,26.0,59.0,15.0,55.0,0.0,27.0,73.0
ATLANTIA,20092.0,9847.0,43.0,15.0,,43.0,11.0,68.0,21.0,57.0,0.0,14.0,86.0
AUTOGRILL,24828.0,37233.0,,22.0,,42.0,17.0,58.0,25.0,,,,
AVIO,804.0,133.0,33.0,11.0,90.0,43.0,9.0,68.0,23.0,56.0,0.0,22.0,78.0
ATM,9363.0,912.0,40.0,25.0,,46.0,7.0,57.0,36.0,52.0,0.0,40.0,60.0
AZIMUT HOLDING,552.0,458.0,33.0,13.0,,42.0,17.0,62.0,21.0,52.0,0.0,42.0,58.0
BANCA AGRICOLA POPOLARE DI RAGUSA,523.0,313.0,18.0,29.0,94.0,50.0,0.0,50.0,50.0,60.0,0.0,0.0,100.0
BANCA CARIGE SPA - CASSA DI RISPARMIO DI GENOVA E IMPERIA,1847.0,1867.0,40.0,34.0,90.0,50.0,3.0,47.0,50.0,60.0,0.0,0.0,100.0
BANCA DI CIVIDALE SCPA - CIVIBANK	,359.0,250.0,22.0,24.0,90.0,46.0,4.0,62.0,34.0,60.0,0.0,0.0,100.0
BANCA DI CREDITO POPOLARE,341.0,193.0,22.0,26.0,91.0,50.0,1.0,48.0,51.0,53.0,0.0,33.0,67.0
BANCA DI PIACENZA,265.0,241.0,18.0,29.0,,47.0,5.0,58.0,37.0,58.0,0.0,9.0,91.0
BANCA FARMAFACTORING SPA,221.0,240.0,44.0,16.0,,40.0,18.0,70.0,12.0,53.0,0.0,33.0,67.0
BANCA GENERALI SPA,483.0,467.0,44.0,34.0,89.0,44.0,5.0,70.0,25.0,51.0,0.0,44.0,56.0
BANCA IFIS,807.0,946.0,33.0,23.0,95.0,41.0,12.0,72.0,16.0,52.0,0.0,42.0,58.0
BANCA MEDIOLANUM,1459.0,1471.0,31.0,32.0,99.0,42.0,9.0,76.0,15.0,61.0,0.0,23.0,77.0
BANCA MONTE DEI PASCHI DI SIENA SPA,10739.0,11075.0,36.0,14.0,93.0,49.0,1.0,53.0,46.0,57.0,0.0,14.0,86.0
BANCA NAZIONALE DEL LAVORO SPA,6518.0,5914.0,8.0,29.0,90.0,49.0,3.0,50.0,47.0,60.0,0.0,0.0,100.0
BANCA POPOLARE DELL ALTO ADIGE,720.0,558.0,18.0,19.0,,47.0,3.0,62.0,35.0,51.0,0.0,45.0,55.0
BANCA POPOLARE DI SONDRIO,2541.0,738.0,30.0,9.0,80.0,42.0,15.0,62.0,23.0,59.0,0.0,5.0,95.0
BANCA POPOLARE DI PUGLIA E BASILICATA,663.0,375.0,11.0,24.0,89.0,49.0,0.0,52.0,47.0,56.0,0.0,33.0,67.0
BANCA POPOLARE PUGLIESE,520.0,297.0,6.0,24.0,94.0,51.0,0.0,46.0,54.0,56.0,0.0,19.0,81.0
BANCA SELLA,2391.0,2256.0,23.0,30.0,89.0,42.0,15.0,64.0,21.0,55.0,0.0,23.0,77.0
BANCA VALSABBINA,432.0,202.0,10.0,26.0,,42.0,7.0,75.0,18.0,60.0,0.0,0.0,100.0
