id_observation,nome,cod_misura,cod_anno,cod_aggr,valore
1,AT_EMP_Y20-64_A_PC_PNT,1,,1,10.5
2,BA_EMP_Y20-64_A_PC_PNT,1,,1,
3,BE_EMP_Y20-64_A_PC_PNT,1,,1,12.2
4,BG_EMP_Y20-64_A_PC_PNT,1,,1,9.3
5,CH_EMP_Y20-64_A_PC_PNT,1,,1,
6,CY_EMP_Y20-64_A_PC_PNT,1,,1,14.5
7,CZ_EMP_Y20-64_A_PC_PNT,1,,1,18.8
8,DE_EMP_Y20-64_A_PC_PNT,1,,1,10.7
9,DK_EMP_Y20-64_A_PC_PNT,1,,1,6.0
10,EA20_EMP_Y20-64_A_PC_PNT,1,,1,13.3
11,EE_EMP_Y20-64_A_PC_PNT,1,,1,1.1
12,EL_EMP_Y20-64_A_PC_PNT,1,,1,26.2
13,ES_EMP_Y20-64_A_PC_PNT,1,,1,14.2
14,EU27_2020_EMP_Y20-64_A_PC_PNT,1,,1,13.4
15,FI_EMP_Y20-64_A_PC_PNT,1,,1,2.2
16,FR_EMP_Y20-64_A_PC_PNT,1,,1,8.0
17,HR_EMP_Y20-64_A_PC_PNT,1,,1,12.5
18,HU_EMP_Y20-64_A_PC_PNT,1,,1,7.9
19,IE_EMP_Y20-64_A_PC_PNT,1,,1,10.4
20,IS_EMP_Y20-64_A_PC_PNT,1,,1,5.4
21,IT_EMP_Y20-64_A_PC_PNT,1,,1,23.4
22,LT_EMP_Y20-64_A_PC_PNT,1,,1,-0.4
23,LU_EMP_Y20-64_A_PC_PNT,1,,1,17.5
24,LV_EMP_Y20-64_A_PC_PNT,1,,1,0.2
25,ME_EMP_Y20-64_A_PC_PNT,1,,1,
26,MK_EMP_Y20-64_A_PC_PNT,1,,1,21.3
27,MT_EMP_Y20-64_A_PC_PNT,1,,1,37.5
28,NL_EMP_Y20-64_A_PC_PNT,1,,1,13.3
29,NO_EMP_Y20-64_A_PC_PNT,1,,1,4.0
30,PL_EMP_Y20-64_A_PC_PNT,1,,1,14.3
31,PT_EMP_Y20-64_A_PC_PNT,1,,1,10.8
32,RO_EMP_Y20-64_A_PC_PNT,1,,1,17.5
33,RS_EMP_Y20-64_A_PC_PNT,1,,1,
34,SE_EMP_Y20-64_A_PC_PNT,1,,1,5.6
35,SI_EMP_Y20-64_A_PC_PNT,1,,1,7.4
36,SK_EMP_Y20-64_A_PC_PNT,1,,1,11.8
37,TR_EMP_Y20-64_A_PC_PNT,1,,1,44.6
38,AT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-36.8
39,BA_EMP_PT_Y20-64_A_PC_PNT,2,,1,
40,BE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-32.2
41,BG_EMP_PT_Y20-64_A_PC_PNT,2,,1,-0.4
42,CH_EMP_PT_Y20-64_A_PC_PNT,2,,1,
43,CY_EMP_PT_Y20-64_A_PC_PNT,2,,1,-7.5
44,CZ_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.5
45,DE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-37.0
46,DK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.0
47,EA20_EMP_PT_Y20-64_A_PC_PNT,2,,1,-26.2
48,EE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.2
49,EL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-7.8
50,ES_EMP_PT_Y20-64_A_PC_PNT,2,,1,-17.6
51,EU27_2020_EMP_PT_Y20-64_A_PC_PNT,2,,1,-21.9
52,FI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-10.2
53,FR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-25.2
54,HR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-3.8
55,HU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.9
56,IE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.6
57,IS_EMP_PT_Y20-64_A_PC_PNT,2,,1,-23.7
58,IT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-22.7
59,LT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.5
60,LU_EMP_PT_Y20-64_A_PC_PNT,2,,1,-30.5
61,LV_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.1
62,ME_EMP_PT_Y20-64_A_PC_PNT,2,,1,
63,MK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-2.4
64,MT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-18.7
65,NL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-48.7
66,NO_EMP_PT_Y20-64_A_PC_PNT,2,,1,-27.3
67,PL_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.0
68,PT_EMP_PT_Y20-64_A_PC_PNT,2,,1,-6.3
69,RO_EMP_PT_Y20-64_A_PC_PNT,2,,1,0.5
70,RS_EMP_PT_Y20-64_A_PC_PNT,2,,1,
71,SE_EMP_PT_Y20-64_A_PC_PNT,2,,1,-27.6
72,SI_EMP_PT_Y20-64_A_PC_PNT,2,,1,-4.7
73,SK_EMP_PT_Y20-64_A_PC_PNT,2,,1,-1.5
74,TR_EMP_PT_Y20-64_A_PC_PNT,2,,1,-17.4
75,AT_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-0.4
76,BA_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
77,BE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.9
78,BG_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.4
79,CH_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,
80,CY_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-11.7
81,CZ_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.5
82,DE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-1.4
83,DK_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.7
84,EA20_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.2
85,EE_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,0.9
86,EL_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.8
87,ES_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-5.0
88,EU27_2020_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-2.9
89,FI_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-8.5
90,FR_EMP_TEMP_Y20-64_A_PC_PNT,3,,1,-3.4
